지점명,지점주소,경도,위도,횟수
HN원주 AS,강원특별자치도 원주시 치악로 1221-7,127.9838225,37.29832155,5
테스트지점,서울 성동구 동일로 111,127.0637671,37.54263686,5
SY송파 AS,서울 송파구 오금로 179,127.1144475,37.50938571,5
도이치모터스 총무팀,서울 성동구 동일로 111,127.0637671,37.54263686,5
GJ목포 AS,전남 목포시 평화로153번길 16,126.4345286,34.80065307,5
SI 대전AS,대전 중구 유등천동로 624,127.3992634,36.3339996,4
폴스타오토모티브코리아,서울 강남구 학동로 343,127.0406195,37.51748077,4
GJ수원 AS,경기 용인시 기흥구 중부대로 194,127.0888017,37.27104233,4
렉서스 강남AS,서울 강남구 영동대로 312,127.0674393,37.50232153,4
토요타 인천AS,인천 남동구 성리로 76,126.7095146,37.44934438,3
렉서스 원주종합AS,강원특별자치도 원주시 정지길 3,127.9485923,37.36368771,3
UA진주 AS,경남 진주시 천수로 294-1,128.0740346,35.18531502,3
BMW데모지점,서울 중구 퇴계로 100,126.9829265,37.56020699,3
GJ천안 AS,충남 천안시 서북구 쌍용대로 245,127.1353232,36.81931382,3
본사(성수),서울 성동구 동일로 111,127.0637691,37.54263514,3
JLRK,서울 중구 을지로5길 26,126.9852089,37.56733995,2
WE서초 AS,서울 서초구 남부순환로342길 94,127.0280017,37.47642277,2
KB전기차충전,서울 성동구 동일로 111,127.0637671,37.54263686,2
KJ구리 AS,경기 구리시 벌말로 94,127.1477804,37.58498003,2
DT친절,서울 성동구 동일로 111,127.0637671,37.54263686,2
소울잼웍스,서울 송파구 백제고분로 509,127.1151767,37.51581844,2
GJ광주 AS,광주 남구 송암로24번가길 18,126.8798996,35.11011378,2
CI성수,서울 성동구 아차산로13길 12,127.0612267,37.54424387,2
BV 일산 AS,경기 고양시 일산동구 무궁화로 383,126.8014865,37.67877694,2
김포 SELEKT,경기 김포시 고촌읍 아라육로152번길 45,126.78373,37.59583776,2
본사 및 지점,서울 서초구 양재대로11길 36,127.0353741,37.46183379,1
AT안산,경기 안산시 상록구 광덕1로 355,126.8490732,37.3072752,1
SI 서수원 AS,경기 수원시 권선구 서부로 1652-1,126.9746486,37.25613716,1
오토카지,서울 강남구 언주로 430,127.043518,37.5018974,1
아이언아우토,부산 금정구 중앙대로 1661,129.0911634,35.2326292,1
테스트지점,서울 송파구 백제고분로 509,127.1151744,37.51581817,1
동성모터스 울산AS,울산 남구 돋질로 147,129.321639,35.54070053,1
동성모터스,부산 해운대구 해운대해변로 299,129.1634777,35.16121487,1
승인대기법인_오창현,서울 서초구 양재대로11길 36,127.0353741,37.46183379,1
DT제주,서울 성동구 동일로 111,127.0637671,37.54263686,1
승인대기법인_권영수,경기 용인시 기흥구 구성로 357,127.1481251,37.29127995,1
승인대기법인_김정수,서울 강남구 논현로168길 47,127.0319842,37.5233449,1
렉서스 포항AS,경북 포항시 남구 포스코대로 62,129.3323681,36.02569255,1
DT 성수SR,서울 성동구 동일로 111,127.0637671,37.54263686,1
BAY 의정부전시장,경기 의정부시 동일로 113,127.0539527,37.69930231,1
SI 서초AS,서울 서초구 사임당로 98,127.0206869,37.4899813,1
